X;Y;ID;NOMBRE;LAZO_AMBIENTAL;NOMBRE_ABREVIADO;DIRECCION;DIRECCION_NORMALIZADA;DISTRITO;NIVEL;GESTION;MODALIDAD;TEMATICAS;ESTADO;BARRIO;COMUNA;OBSERVACIONES
-58.492971408425653;-34.560154935635438;35;EI N° 6 D.E. 15;1;EI 6;GALVAN 3710;GALVAN 3710;15;INICIAL;ESTATAL;COMUN;GESTION INTEGRAL DE LOS RESIDUOS - HUERTAS ESCOLARES;SE POSTULO EN 2017;SAAVEDRA;COMUNA 12;
-58.440394657896626;-34.655663763051507;61;EI N° 9 D.E. 19;2;EI 9;CHILAVERT 2680;CHILAVERT, MARTINIANO, CORONEL 2680;19;INICIAL;ESTATAL;COMUN;GESTION INTEGRAL DE RESIDUOS - HUERTAS ESCOLARES;SE POSTULO EN 2017;VILLA SOLDATI;COMUNA 08;
-58.449706638322631;-34.643031540272688;12;EPC 22 D.E. 11;2;EPC 22;AVELINO DIAZ 2356;DIAZ, AVELINO 2356;11;PRIMARIA;ESTATAL;COMUN;EFICIENCIA ENERGETICA Y ENERGIAS RENOVABLES - CUIDADO DEL AGUA - GESTION INTEGRAL DE LOS RESIDUOS;SE POSTULO EN 2017;FLORES;COMUNA 07;
-58.479275613229781;-34.56701627498358;39;EPC 24 D.E.15;1;EPC 24;PEDRO RIVERA 4221;RIVERA, PEDRO I., DR. 4221;15;PRIMARIA;ESTATAL;COMUN;GESTION INTEGRAL DE LOS RESIDUOS - HUERTAS ESCOLARES;SE POSTULO EN 2017;VILLA URQUIZA;COMUNA 12;
-58.361485679855804;-34.633112399681849;92;EPC N° 01 D.E. 4;2;EPC 1;ARISTOBULO DEL VALLE 471;VALLE, ARISTOBULO DEL 471;4;PRIMARIA;ESTATAL;COMUN;GESTION INTEGRAL DE LOS RESIDUOS;SE POSTULO EN 2017;BOCA;COMUNA 04;
-58.367452038774481;-34.636929709370321;91;EPC N° 11 D.E. 4;2;EPC 11;BRANDSEN 1057;BRANDSEN 1057;4;PRIMARIA;ESTATAL;COMUN. INTESIFICADA EN ARTISTICA;GESTION INTEGRAL DE LOS RESIDUOS -  HUERTAS ESCOLARES;SE POSTULO EN 2017;BOCA;COMUNA 04;
-58.45812622412199;-34.60891736089453;7;EPC N° 11 D.E. 7;1;EPC 11;NICASIO OROÑO 1431;OROÑO, NICASIO 1431;7;PRIMARIA;ESTATAL;COMUN;GESTION INTEGRAL DE LOS RESIDUOS;SE POSTULO EN 2017;CABALLITO;COMUNA 06;
-58.415262161287252;-34.596904634336092;85;EPC N° 13 D.E. 2;2;EPC 13;JOSE ANTONIO CABRERA 3484;CABRERA, JOSE A. 3484;2;PRIMARIA;ESTATAL;COMUN;GESTION INTEGRAL DE LOS RESIDUOS - HUERTAS ESCOLARES - CONTAMINACION SONORA;SE POSTULO EN 2017;RECOLETA;COMUNA 02;
-58.481905004864778;-34.63457328397304;25;EPC N° 3 D.E. 11;1;EPC 3;MARIANO ACOSTA 45;ACOSTA, MARIANO AV. 45;11;PRIMARIA;ESTATAL;COMUN;GESTION INTEGRAL DE LOS RESIDUOS;SE POSTULO EN 2017;VELEZ SARSFIELD;COMUNA 10;
-58.364198261174231;-34.63292321481061;89;EI N° 07 D.E. 04;2;EI 7;BLANES Y PALOS;BLANES, JUAN MANUEL Y PALOS;4;INICIAL;ESTATAL;COMUN;CUIDADO DEL AGUA - GESTION INTEGRAL DE LOS RESIDUOS - HUERTAS ESCOLARES;SE POSTULO EN 2017;BOCA;COMUNA 04;
-58.402513521991352;-34.598343448883817;84;EPC N° 23 D.E. 1;1;EPC 23;LARREA 854;LARREA 854;1;PRIMARIA;ESTATAL;COMUN;;SE POSTULO EN 2017;RECOLETA;COMUNA 02;
-58.417087972122559;-34.591792929560967;57;EPC N° 4 D.E. 2;2;EPC 4;SOLER 3929;SOLER 3929;2;PRIMARIA;ESTATAL;COMUN;GESTION INTEGRAL DE LOS RESIDUOS;SE POSTULO EN 2017;PALERMO;COMUNA 14;
-58.445981041252992;-34.603176624879175;4;E.P.C. N° 6 D.E. 7;1;EPC 6;OLAYA 1525;OLAYA 1525;7;PRIMARIA;ESTATAL;COMUN;GESTION INTEGRAL DE LOS RESIDUOS;SE POSTULO EN 2017;VILLA CRESPO;COMUNA 15;
-58.409013827576445;-34.644182276537251;26;EII N° 05 D.E. 5;2;EII 5;JOSE A. CORTEJARENA 3350;CORTEJARENA, JOSE A. 3350;5;PRIMARIA;ESTATAL;ESPECIAL;GESTION INTEGRAL DE LOS RESIDUOS - HUERTAS ESCOLARES - CONTAMINACION AMBIENTAL;SE POSTULO EN 2017;PARQUE PATRICIOS;COMUNA 04;
-58.504896055532711;-34.593680115235884;67;EPC N° 2 D.E. 16;1;EPC 2;AV. SAN MARTIN 6387;SAN MARTIN AV. 6387;16;PRIMARIA;ESTATAL;COMUN;GESTION INTEGRAL DE LOS RESIDUOS;SE POSTULO EN 2017;VILLA DEVOTO;COMUNA 11;
-58.453610260127341;-34.635305716250983;13;EPC N° 24 D.E.11;1;EPC 24;LAUTARO 752;LAUTARO 752;11;PRIMARIA;ESTATAL;COMUN;GESTION INTEGRAL DE LOS RESIDUOS;SE POSTULO EN 2017;FLORES;COMUNA 07;
-58.476397050361541;-34.63742832548742;163;EPC N° 19 DE 11;1;EPC 19;JOSE BONIFACIO 3650;BONIFACIO, JOSE 3650;11;PRIMARIA;ESTATAL;COMUN;GESTION INTEGRAL DE RESIDUOS;RATIFICO EN 2017;FLORESTA;COMUNA 10;
-58.395287941233157;-34.599295964515434;112;E.N.S N° 1 D.E. 1;4;ENS  1;AVDA. CORDOBA 1951;CORDOBA AV. 1951;1;INICIAL;ESTATAL;COMUN;GESTION INTEGRAL DE RESIDUOS - PARTICIPACION CIUDADANA - VIDA SALUDABLE;POSTULADOS ANTES DE 2017;RECOLETA;COMUNA 02;LAZO AMBIENTAL 2014: 1 - LAZO AMBIENTAL 2015: 2
